Type,carbon_12_13,nitrogen_14_15
M,61.2,1207
M,61.28,269
M,61.3,883
M,61.34,1795
M,61.3,3617
M,61.35,2741
M,61.35,2248
M,61.38,615
M,61.4,1626
M,61.4,2720
M,61.4,4149
M,61.5,1109
M,61.5,882
M,61.49,994
M,61.50,3115
M,61.5,2285
M,61.5,2953
M,61.5,568
M,61.6,4563
M,61.59,1800
M,61.6,828
M,61.64,1797
M,61.64,1502
M,61.65,1258
M,61.66,869.24
M,61.7,394
M,61.7,3412
M,61.78,1836
M,61.79,734
M,61.8,2583
M,61.82,617
M,61.90,1137
M,61.90,3425
M,61.90,6711
M,61.92,301
M,61.96,284
M,62.0,2968
M,62.0,16585
M,62.0,2672
M,62.03,1025
M,62.1,1598
M,62.05,2801
M,62.1,4251
M,62.1,266
M,62.1,3127
M,62.20,2985
M,62.2,3457
M,62.3,1287
M,62.28,847
M,62.29,1099
M,62.30,499
M,62.30,2000
M,62.33,1119
M,62.4,1714
M,62.4,1252
M,62.4,1272
M,62.4,4182
M,62.47,2170
M,62.5,3592
M,62.5,1084
M,62.56,425
M,62.57,410
M,62.6,374
M,62.6,532.58
M,62.6,1943
M,62.64,543
M,62.69,1764
M,62.70,865
M,62.7,3876
M,62.70,674
U,62.7,72
M,62.7,1461
M,62.7,1620
M,62.79,490
M,62.79,1211
M,62.80,2874
M,62.81,2061
M,62.87,271
M,62.87,608
M,62.89,2574
M,62.89,741.39
M,62.9,816
M,62.9,3817
M,62.92,503
M,62.93,1449
M,63.0,226
M,63.05,542
M,63.09,1271
M,63.1,1198
M,63.10,5435
M,63.1,2321
M,63.1,5221
M,63.2,3837
M,63.19,655
M,63.19,1413
M,63.2,459
M,63.2,1473
M,63.2,1618
M,63.21,488
X,63.26,75.6
M,63.27,264
M,63.3,5540
M,63.29,2448
M,63.35,1088
M,63.38,2696
M,63.40,781
M,63.50,3236
M,63.5,515
M,63.53,1262
M,63.53,531
M,63.57,3430
M,63.63,494
M,63.6,378
M,63.7,401.0
M,63.71,523
M,63.72,692
M,63.72,1499
M,63.77,1076.7
M,63.8,419
M,63.8,5655
M,63.79,1383
M,63.80,3413
M,63.9,336
M,63.9,1909
M,63.89,736
M,63.90,875
M,63.9,2410
M,63.91,2572
M,63.93,1528
M,63.94,1183
M,64.0,3789
M,64.0,4132
M,64.07,553
M,64.1,8832
M,64.12,365
M,64.16,410
M,64.2,9316
M,64.25,523
M,64.3,1233
M,64.3,5387
M,64.36,1459
M,64.4,2024
M,64.46,1486
M,64.5,517.5
M,64.54,1546
M,64.55,5038.77
M,64.60,3368.07
M,64.6,1215
M,64.6,4444
M,64.6,3422
M,64.7,5468
M,64.71,698
M,64.7,1066
M,64.79,523
M,64.79,357
M,64.8,1739
M,64.81,1091
M,64.82,2168
M,64.86,1373
M,64.9,2755
M,64.96,319
M,64.97,1072
M,65.00,2018
Z,65,1110
M,65.00,4448
M,65.0,1609
M,65.05,1052
M,65.1,2039
M,65.19,1725
M,65.24,943
M,65.3,3706
M,65.4,416
M,65.38,1036.33
M,65.40,1637
M,65.44,564
M,65.45,448
Z,65.48,3032
M,65.49,2831
M,65.49,976
M,65.50,1256
Z,65.50,5556
M,65.57,975
M,65.59,575
M,65.70,1113
M,65.7,1849
M,65.74,625
